|CHO|Workgroup|InsurerClaimOwner|DateInvoiceWasUploaded|OriginalTotalToPayAmount|SettledAmount|DateclaimmovedtoInvoicePaymentLogged|DaysToPayclaim|NooftimesclaimwentintoContestedInvoiceReferredToInsurer|NooftimesclaimwentintoContestedInvoiceReferredToCHO|OriginalHireGross|CurrentHireGross|OriginalRepairGross|CurrentRepairGross|OriginalEngineerFeeGross|CurrentEngineerFeeGross|OriginalTotalLossFeeGross|CurrentTotalLossFeeGross|OriginalStorageRecoveryGross|CurrentStorageRecoveryGross|OriginalHireDays|CurrentHireDays|TotalPenaltyChargeAmount|InvoiceSavingRule|BREfailures,,,,,,,,,,,,,
16|4|2|22|14/12/2015 15:05|574.79|574.79|16/12/2015 08:06|1.7|||574.79|574.79|0.0|0.0|0|0|0.0|0.0|0.0|0.0|9|9|0.0||035,,,,,,,,,,,,,
17|3|8|32|05/04/2016 13:08|1940.86|1940.86|08/04/2016 07:18|2.8|||1940.86|1940.86|0.0|0.0|0|0|0.0|0.0|0.0|0.0|31|31|0.0||003,6,21,999,,,,,,,,,,
18|3|1|17|16/09/2015 14:25|4799.9|4799.9|25/09/2015 07:03|8.7|||1473.97|1473.97|3265.93|3265.93|60|60|0.0|0.0|0.0|0.0|31|31|0.0||023,90,,,,,,,,,,,,
19|3|1|70|27/05/2015 10:57|620.98|620.98|14/07/2015 06:52|47.8|2.0|2.0|620.98|620.98|0.0|0.0|0|0|0.0|0.0|0.0|0.0|13|13|0.0||044,40,1,2,,,,,,,,,,
20|3|1|9|17/06/2015 16:14|289.36|289.36|14/07/2015 06:56|26.6|||289.36|289.36|0.0|0.0|0|0|0.0|0.0|0.0|0.0|4|4|0.0||040,,,,,,,,,,,,,
21|3|2|59|08/12/2015 16:51|1202.59|1443.11|08/04/2016 07:08|121.6|||1202.59|1202.59|0.0|0.0|0|0|0.0|0.0|0.0|0.0|9|9|240.52||086,56,,,,,,,,,,,,
22|3|2|46|28/09/2015 17:28|3841.56|3841.56|13/10/2015 06:19|14.5|||1804.14|1804.14|1977.42|1977.42|60|60|0.0|0.0|0.0|0.0|15|15|0.0||046,90,,,,,,,,,,,,
23|5|2|44|28/09/2015 16:35|6471.03|6351.03|07/10/2015 06:25|8.6|1.0|1.0|3720.2|3720.2|2390.83|2390.83|60|60|0.0|0.0|300.0|180.0|27|27|0.0|23.0|003,20,22,23,64,56,87,,,,,,,
24|3|2|22|13/10/2015 16:16|2484.3|2484.3|29/10/2015 06:45|15.6|||2484.3|2484.3|0.0|0.0|0|0|0.0|0.0|0.0|0.0|25|25|0.0||003,21,46,999,,,,,,,,,,
25|3|1|6|15/10/2015 17:16|6300.24|4158.38|21/10/2015 08:04|5.6|1.0|1.0|5155.44|3013.58|1084.8|1084.8|60|60|0.0|0.0|0.0|0.0|28|24|0.0|45.0|045,90,3,,,,,,,,,,,
26|7|2|25|08/10/2015 11:43|1829.78|582.48|15/10/2015 06:48|6.8|1.0|1.0|1829.78|582.48|0.0|0.0|0|0|0.0|0.0|0.0|0.0|33|10|0.0|65.0|003,6,64,44,21,63,65,999,,,,,,
27|3|1|17|02/09/2015 16:19|1694.35|1767.63|02/10/2015 06:23|29.6|1.0|1.0|324.26|324.26|1310.09|1310.09|60|60|0.0|0.0|0.0|0.0|7|7|73.28||023,27,21,65,90,,,,,,,,,
28|3|1|17|08/09/2015 15:45|1702.75|264.26|02/10/2015 06:28|23.6|1.0|1.0|332.66|264.26|1310.09|0.0|60|0|0.0|0.0|0.0|0.0|7|7|0.0|999.0|027,21,999,23,90,,,,,,,,,
29|3|2|41|16/09/2015 16:09|60.0|60.0|02/10/2015 06:30|15.6|||0.0|0.0|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|1|0.0||090,,,,,,,,,,,,,
30|3|1|70|06/07/2015 16:08|303.28|303.28|21/07/2015 06:02|14.6|||303.28|303.28|0.0|0.0|0|0|0.0|0.0|0.0|0.0|7|7|0.0||040,,,,,,,,,,,,,
31|3|1|17|22/09/2015 15:35|1231.25|1231.25|02/10/2015 06:42|9.6|||1231.25|1231.25|0.0|0.0|0|0|0.0|0.0|0.0|0.0|26|26|0.0||021,999,,,,,,,,,,,,
32|3|2|59|15/06/2015 16:20|2476.78|2972.14|14/10/2015 06:29|120.6|3.0|3.0|2476.78|2476.78|0.0|0.0|0|0|0.0|0.0|0.0|0.0|42|42|495.36||040,3,,,,,,,,,,,,
33|7|2|25|13/08/2015 11:48|1087.99|1210.79|22/09/2015 06:45|39.8|||982.39|982.39|0.0|0.0|60|60|0.0|0.0|45.6|45.6|17|17|122.8||027,,,,,,,,,,,,,
34|3|1|70|09/09/2015 15:13|3518.98|3518.98|22/09/2015 06:48|12.6|||3518.98|3518.98|0.0|0.0|0|0|0.0|0.0|0.0|0.0|27|27|0.0||003,85,,,,,,,,,,,,
35|7|1|36|11/06/2015 11:44|1523.89|1523.89|17/06/2015 07:25|5.8|||1463.89|1463.89|0.0|0.0|60|60|0.0|0.0|0.0|0.0|29|29|0.0||003,7,,,,,,,,,,,,
36|6|2|59|01/09/2015 15:46|6178.8|6178.8|22/09/2015 06:51|20.6|1.0|1.0|6178.8|6178.8|0.0|0.0|0|0|0.0|0.0|0.0|0.0|40|40|0.0||002,3,,,,,,,,,,,,
37|3|2|71|28/08/2015 09:36|4548.72|4548.72|22/09/2015 06:54|24.9|3.0|3.0|4548.72|4548.72|0.0|0.0|0|0|0.0|0.0|0.0|0.0|24|24|0.0||003,56,,,,,,,,,,,,
38|3|1|12|29/09/2015 15:20|785.45|573.72|02/10/2015 06:47|2.6|1.0|1.0|785.45|573.72|0.0|0.0|0|0|0.0|0.0|0.0|0.0|14|10|0.0|56.0|056,,,,,,,,,,,,,
39|7|1|17|23/09/2015 11:47|2180.5|2180.5|02/10/2015 06:50|8.8|||2030.74|2030.74|0.0|0.0|60|60|0.0|0.0|89.76|89.76|36|36|0.0||003,7,,,,,,,,,,,,
40|7|2|25|11/09/2015 11:39|2163.59|2123.18|02/10/2015 07:11|20.8|1.0|1.0|410.83|370.42|1692.76|1692.76|60|60|0.0|0.0|0.0|0.0|8|8|0.0|1.0|023,1,,,,,,,,,,,,
41|5|2|44|29/09/2015 16:35|4618.33|4227.02|07/10/2015 06:32|7.6|1.0|1.0|4258.33|3987.02|0.0|0.0|60|60|0.0|0.0|300.0|180.0|29|28|0.0|3.0|003,20,22,,,,,,,,,,,
42|7|2|59|01/10/2015 12:04|4640.96|4543.07|07/10/2015 06:36|5.8|1.0|1.0|704.72|606.83|3876.24|3876.24|60|60|0.0|0.0|0.0|0.0|13|11|0.0|23.0|023,,,,,,,,,,,,,
43|3|1|17|29/10/2015 19:46|3655.24|3655.24|18/11/2015 06:48|19.5|||851.57|851.57|2743.67|2743.67|60|60|0.0|0.0|0.0|0.0|16|16|0.0||023,90,,,,,,,,,,,,
44|2|1|17|17/09/2015 16:40|4790.32|4790.32|02/10/2015 07:01|14.6|||4790.32|4790.32|0.0|0.0|0|0|0.0|0.0|0.0|0.0|37|37|0.0||064,65,,,,,,,,,,,,
45|7|2|18|20/10/2015 10:30|104.4|104.4|28/10/2015 07:57|7.9|||44.4|44.4|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|1|0.0||070,,,,,,,,,,,,,
46|3|1|70|09/11/2015 17:36|1795.55|1795.55|18/11/2015 06:59|8.6|||1044.31|1044.31|691.24|691.24|60|60|0.0|0.0|0.0|0.0|14|14|0.0||090,,,,,,,,,,,,,
47|7|4|2|06/04/2016 11:12|2492.13|2492.13|08/04/2016 07:23|1.8|||562.44|562.44|1869.69|1869.69|60|60|0.0|0.0|0.0|0.0|10|10|0.0||023,44,,,,,,,,,,,,
48|3|1|6|10/09/2015 14:59|5884.7|5884.7|02/10/2015 07:05|21.7|||1593.58|1593.58|4231.12|4231.12|60|60|0.0|0.0|0.0|0.0|23|23|0.0||003,23,90,,,,,,,,,,,
49|5|1|37|30/10/2015 16:37|2510.53|1955.69|18/11/2015 07:11|18.6|1.0|1.0|900.52|753.67|1142.01|1142.02|60|60|0.0|0.0|0.0|0.0|17|14|0.0|12.0|012,55,22,70,87,,,,,,,,,
50|5|1|10|18/09/2015 16:23|0.0|2906.87|02/10/2015 07:07|13.6|2.0|2.0|2906.87|2906.87|0.0|0.0|0|0|0.0|0.0|0.0|0.0|37|37|0.0||003,7,46,,,,,,,,,,,
51|7|2|41|09/09/2015 10:47|3449.92|3449.92|06/10/2015 06:26|26.8|||3368.32|3368.32|0.0|0.0|60|60|0.0|0.0|21.6|21.6|27|27|0.0||003,7,63,,,,,,,,,,,
52|7|1|17|01/10/2015 12:04|6315.09|6315.09|06/10/2015 06:34|4.8|||1984.26|1984.26|4270.83|4270.83|60|60|0.0|0.0|0.0|0.0|37|37|0.0||003,23,,,,,,,,,,,,
53|5|1|64|17/09/2015 16:32|2107.27|986.23|06/10/2015 06:29|18.6|2.0|2.0|1469.7|348.66|577.57|577.57|60|60|0.0|0.0|0.0|0.0|15|3|0.0|56.0|020,22,56,,,,,,,,,,,
54|2|1|17|23/09/2015 13:26|132.0|132.0|02/10/2015 07:18|8.7|||132.0|132.0|0.0|0.0|0|0|0.0|0.0|0.0|0.0|20|20|0.0||044,21,76,,,,,,,,,,,
55|7|2|18|12/08/2015 12:46|1315.67|1480.13|07/10/2015 07:48|55.8|1.0|1.0|1315.67|1315.67|0.0|0.0|0|0|0.0|0.0|0.0|0.0|9|9|164.46||021,63,,,,,,,,,,,,
56|3|1|17|17/06/2015 16:36|60.0|926.06|14/10/2015 06:35|118.6|5.0|5.0|0.0|866.06|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|18|0.0||001,21,90,,,,,,,,,,,
57|7|2|18|12/08/2015 12:46|173.34|195.01|07/10/2015 07:48|55.8|1.0|1.0|173.34|173.34|0.0|0.0|0|0|0.0|0.0|0.0|0.0|3|3|21.67||021,999,,,,,,,,,,,,
58|7|1|68|02/10/2015 11:29|60.0|60.0|07/10/2015 07:42|4.8|||0.0|0.0|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|1|0.0||021,999,70,,,,,,,,,,,
59|3|2|25|14/08/2015 09:06|2419.4|2419.4|16/10/2015 06:29|62.9|2.0|2.0|894.77|894.77|1464.64|1464.64|60|60|0.0|0.0|0.0|0.0|16|16|0.0||023,56,90,,,,,,,,,,,
60|3|2|67|27/07/2015 15:46|4544.6|4544.6|23/08/2015 10:11|26.8|||2426.71|2426.71|2057.89|2057.89|60|60|0.0|0.0|0.0|0.0|18|18|0.0||003,23,40,41,90,,,,,,,,,
61|3|2|67|06/10/2015 16:15|1596.43|1596.43|29/10/2015 07:02|22.6|||1596.43|1596.43|0.0|0.0|0|0|0.0|0.0|0.0|0.0|34|34|0.0||003,6,21,999,,,,,,,,,,
62|3|2|3|10/06/2015 16:15|801.48|801.48|24/06/2015 07:00|13.6|||801.48|801.48|0.0|0.0|0|0|0.0|0.0|0.0|0.0|10|10|0.0||040,,,,,,,,,,,,,
63|3|2|25|01/09/2015 16:06|908.35|1021.89|16/10/2015 06:34|44.6|3.0|3.0|908.35|908.35|0.0|0.0|0|0|0.0|0.0|0.0|0.0|15|15|113.54||021,56,,,,,,,,,,,,
64|3|2|44|08/06/2015 16:08|792.17|792.17|17/06/2015 07:33|8.6|||792.17|792.17|0.0|0.0|0|0|0.0|0.0|0.0|0.0|13|13|0.0||040,,,,,,,,,,,,,
65|4|1|17|13/10/2015 16:37|3447.79|3423.79|17/02/2016 07:15|126.6|3.0|3.0|3507.79|3423.79|0.0|0.0|0|0|0.0|0.0|0.0|0.0|24|24|0.0|2.0|012,2,3,,,,,,,,,,,
66|7|1|17|10/02/2016 12:18|2982.44|2868.44|17/02/2016 07:18|6.8|2.0|2.0|496.63|496.63|2425.81|2311.81|60|60|0.0|0.0|0.0|0.0|7|7|0.0|23.0|023,,,,,,,,,,,,,
67|5|1|64|01/09/2015 16:31|1840.93|1696.93|18/09/2015 07:44|16.6|2.0|2.0|1480.93|1456.93|0.0|0.0|60|60|0.0|0.0|300.0|180.0|33|33|0.0|25.0|025,3,7,22,87,,,,,,,,,
68|5|1|34|02/06/2015 16:46|3542.53|3581.64|14/07/2015 07:02|41.6|1.0|1.0|1010.09|881.68|2292.44|2292.44|60|60|0.0|0.0|180.0|180.0|22|19|167.52|56.0|020,22,23,87,56,64,,,,,,,,
69|3|8|40|01/02/2016 16:25|60.0|60.0|17/02/2016 07:30|15.6|2.0|2.0|0.0|0.0|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|1|0.0||021,90,,,,,,,,,,,,
70|7|2|59|15/06/2015 11:49|4790.99|4790.99|18/06/2015 06:36|2.8|||1395.32|1395.32|3335.67|3335.67|60|60|0.0|0.0|0.0|0.0|31|31|0.0||003,23,,,,,,,,,,,,
71|3|2|25|16/09/2015 14:17|637.82|614.85|16/10/2015 06:36|29.7|1.0|1.0|637.82|546.53|0.0|0.0|0|0|0.0|0.0|0.0|0.0|13|11|68.32|56.0|056,,,,,,,,,,,,,
72|3|1|9|17/06/2015 16:36|60.0|60.0|08/07/2015 06:50|20.6|||0.0|0.0|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|1|0.0||090,,,,,,,,,,,,,
73|5|1|10|10/02/2016 08:22|1615.69|1249.1|17/02/2016 07:32|7.0|1.0|1.0|1399.69|1249.1|0.0|0.0|0|0|0.0|0.0|0.0|0.0|9|8|0.0|27.0|055,12,27,,,,,,,,,,,
74|3|1|70|24/06/2015 15:43|1180.66|1048.66|01/09/2015 08:22|68.7|4.0|4.0|1180.66|1048.66|0.0|0.0|0|0|0.0|0.0|0.0|0.0|22|22|0.0|3.0|040,3,,,,,,,,,,,,
75|7|8|19|15/02/2016 10:38|1530.9|1530.9|17/02/2016 07:39|1.9|1.0|1.0|1470.9|1470.9|0.0|0.0|60|60|0.0|0.0|0.0|0.0|25|25|0.0||003,44,,,,,,,,,,,,
76|3|2|58|04/09/2015 16:37|2543.64|2543.64|18/09/2015 07:36|13.6|||1267.78|1267.78|1215.86|1215.86|60|60|0.0|0.0|0.0|0.0|12|12|0.0||086,63,90,,,,,,,,,,,
77|5|2|39|18/12/2015 16:23|6557.23|3443.39|04/02/2016 07:01|47.6|7.0|7.0|2613.7|1115.02|2218.93|2088.37|60|60|0.0|0.0|300.0|180.0|52|19|0.0|23.0|055,12,64,65,24,23,27,44,3,22,,,,
78|3|2|67|13/07/2015 13:00|1728.5|1866.59|18/08/2015 08:02|35.8|1.0|1.0|963.76|963.76|704.75|704.75|60|60|0.0|0.0|0.0|0.0|7|7|138.09||040,41,90,,,,,,,,,,,
79|3|1|68|08/06/2015 16:08|617.9|617.9|23/06/2015 06:23|14.6|||617.9|617.9|0.0|0.0|0|0|0.0|0.0|0.0|0.0|10|10|0.0||040,,,,,,,,,,,,,
80|5|1|10|27/07/2015 16:31|4611.16|3842.63|18/08/2015 08:03|21.6|1.0|1.0|3257.03|3257.03|0.0|0.0|60|50|0.0|0.0|535.6|535.6|73|73|0.0|50.0|050,3,7,22,,,,,,,,,,
81|3|1|38|14/08/2015 16:37|150.0|150.0|18/08/2015 08:04|3.6|||0.0|0.0|0.0|0.0|60|60|90.0|90.0|0.0|0.0|1|1|0.0||090,91,,,,,,,,,,,,
82|5|1|64|04/08/2015 16:32|6880.08|6595.26|07/08/2015 07:05|2.6|1.0|1.0|6880.08|6595.26|0.0|0.0|0|0|0.0|0.0|0.0|0.0|24|23|0.0|56.0|003,64,24,56,,,,,,,,,,
83|3|1|9|21/07/2015 16:07|434.78|434.78|07/08/2015 07:13|16.6|||434.78|434.78|0.0|0.0|0|0|0.0|0.0|0.0|0.0|4|4|0.0||040,,,,,,,,,,,,,
84|3|1|68|29/05/2015 14:06|643.66|772.39|18/08/2015 08:07|80.8|3.0|3.0|643.66|643.66|0.0|0.0|0|0|0.0|0.0|0.0|0.0|14|14|128.73||040,,,,,,,,,,,,,
85|3|2|59|02/07/2015 16:28|872.04|981.05|18/08/2015 08:09|46.7||1.0|872.04|872.04|0.0|0.0|0|0|0.0|0.0|0.0|0.0|15|15|109.01||040,21,999,,,,,,,,,,,
86|5|1|10|27/07/2015 16:31|3459.44|3435.44|18/08/2015 08:10|21.7|1.0|1.0|2679.44|2655.44|0.0|0.0|60|60|0.0|0.0|720.0|720.0|61|61|0.0|25.0|025,3,7,22,,,,,,,,,,
87|7|1|36|27/07/2015 11:17|1496.3|1496.3|07/08/2015 07:09|10.8|||1094.3|1094.3|0.0|0.0|60|60|0.0|0.0|342.0|342.0|23|23|0.0||003,,,,,,,,,,,,,
88|3|1|10|08/07/2015 10:22|2120.86|1154.81|18/08/2015 08:13|40.9|1.0|1.0|2060.86|1154.81|0.0|0.0|60|0|0.0|0.0|0.0|0.0|53|29|0.0|40.0|003,6,27,21,999,90,40,,,,,,,
89|7|2|67|13/07/2015 12:00|3444.05|3470.07|18/08/2015 08:15|35.8|1.0|1.0|858.86|730.45|2525.19|2525.18|60|60|0.0|0.0|0.0|0.0|16|13|154.44|56.0|023,44,56,,,,,,,,,,,
90|5|2|39|14/07/2015 16:29|3277.31|3122.58|18/08/2015 08:18|34.7|2.0|2.0|1460.95|1306.22|1756.36|1756.36|60|60|0.0|0.0|0.0|0.0|18|16|0.0|56.0|056,20,22,86,66,,,,,,,,,
91|3|1|64|17/06/2015 16:14|429.04|429.04|23/06/2015 06:24|5.6|||429.04|429.04|0.0|0.0|0|0|0.0|0.0|0.0|0.0|7|7|0.0||040,,,,,,,,,,,,,
92|7|1|12|02/06/2015 11:17|104.4|104.4|03/06/2015 07:48|0.9|||44.4|44.4|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|1|0.0||070,,,,,,,,,,,,,
93|7|2|71|22/07/2015 13:12|441.41|441.41|18/08/2015 08:21|26.8|1.0|1.0|441.41|441.41|0.0|0.0|0|0|0.0|0.0|0.0|0.0|8|8|0.0||021,999,,,,,,,,,,,,
94|3|1|36|16/10/2015 16:34|899.12|899.12|29/10/2015 07:04|12.6|||0.0|0.0|839.12|839.12|60|60|0.0|0.0|0.0|0.0|1|1|0.0||090,,,,,,,,,,,,,
95|7|2|18|12/08/2015 12:46|115.56|130.01|07/10/2015 07:49|55.8|1.0|1.0|115.56|115.56|0.0|0.0|0|0|0.0|0.0|0.0|0.0|2|2|14.45||021,63,999,,,,,,,,,,,
96|3|2|46|16/09/2015 16:13|150.0|150.0|07/10/2015 07:55|20.7|||0.0|0.0|0.0|0.0|60|60|90.0|90.0|0.0|0.0|1|1|0.0||090,91,,,,,,,,,,,,
97|3|1|10|01/07/2015 16:23|60.0|60.0|14/07/2015 07:06|12.6|||0.0|0.0|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|1|0.0||027,90,,,,,,,,,,,,
98|3|2|16|09/06/2015 16:19|2327.56|2327.56|18/06/2015 06:39|8.6|||562.13|562.13|1705.43|1705.43|60|60|0.0|0.0|0.0|0.0|11|11|0.0||023,40,41,90,,,,,,,,,,
99|3|1|17|01/06/2015 14:59|552.7|552.7|03/06/2015 07:54|1.7|||552.7|552.7|0.0|0.0|0|0|0.0|0.0|0.0|0.0|9|9|0.0||040,,,,,,,,,,,,,
100|7|2|13|18/06/2015 12:33|1862.98|1817.33|22/06/2015 06:35|3.8|1.0|1.0|1733.38|1687.73|0.0|0.0|60|60|0.0|0.0|69.6|69.6|37|36|0.0|3.0|003,7,,,,,,,,,,,,
101|3|1|36|05/04/2016 18:00|60.0|60.0|08/04/2016 07:33|2.6|||0.0|0.0|0.0|0.0|60|60|0.0|0.0|0.0|0.0|1|1|0.0||090,,,,,,,,,,,,,
102|3|2|71|20/07/2015 16:45|1814.69|1500.98|18/08/2015 08:24|28.7|1.0|1.0|1814.69|1500.98|0.0|0.0|0|0|0.0|0.0|0.0|0.0|17|14|0.0|40.0|003,40,,,,,,,,,,,,
103|3|1|21|21/07/2015 16:06|429.64|429.64|07/08/2015 07:15|16.6|||429.64|429.64|0.0|0.0|0|0|0.0|0.0|0.0|0.0|9|9|0.0||040,,,,,,,,,,,,,
104|7|1|6|21/07/2015 14:18|1022.16|1022.16|07/08/2015 07:20|16.7|||631.78|631.78|0.0|0.0|60|60|0.0|0.0|330.38|330.38|12|12|0.0||070,,,,,,,,,,,,,
105|4|2|71|27/07/2015 14:53|2100.22|2100.22|18/08/2015 08:25|21.7|||2100.22|2100.22|0.0|0.0|0|0|0.0|0.0|0.0|0.0|42|42|0.0||003,7,,,,,,,,,,,,
106|3|1|37|11/08/2015 16:16|769.32|665.76|23/09/2015 06:51|42.6|2.0|2.0|769.32|665.76|0.0|0.0|0|0|0.0|0.0|0.0|0.0|14|12|0.0|56.0|056,,,,,,,,,,,,,
107|7|1|17|20/08/2015 12:42|2654.57|2654.57|28/08/2015 07:53|7.8|||2414.47|2414.47|0.0|0.0|60|60|0.0|0.0|180.1|180.1|34|34|0.0||003,7,,,,,,,,,,,,
108|3|1|38|07/10/2015 09:27|2110.76|1758.97|11/11/2015 05:46|34.8|2.0|2.0|2110.76|1758.97|0.0|0.0|0|0|0.0|0.0|0.0|0.0|19|19|0.0|27.0|027,45,56,,,,,,,,,,,
109|3|1|38|16/09/2015 14:13|278.8|60.0|20/10/2015 06:28|33.7|1.0|1.0|218.8|0.0|0.0|0.0|60|60|0.0|0.0|0.0|0.0|3|0|0.0||090,,,,,,,,,,,,,
110|3|1|12|16/06/2015 15:53|1703.09|1703.09|23/06/2015 06:28|6.6|||353.69|353.69|1289.4|1289.4|60|60|0.0|0.0|0.0|0.0|6|6|0.0||023,40,41,90,,,,,,,,,,
111|6|2|71|29/06/2015 09:11|1898.99|1898.99|03/07/2015 07:03|3.9|||333.3|333.3|1505.69|1505.69|60|60|0.0|0.0|0.0|0.0|5|5|0.0||002,8,,,,,,,,,,,,
112|3|1|21|05/10/2015 15:56|774.19|774.19|15/10/2015 06:53|9.6|1.0|1.0|774.19|774.19|0.0|0.0|0|0|0.0|0.0|0.0|0.0|16|16|0.0||056,,,,,,,,,,,,,
113|7|1|12|24/09/2015 12:08|138.0|138.0|25/09/2015 07:12|0.8|||44.4|44.4|0.0|0.0|60|60|0.0|0.0|33.6|33.6|1|1|0.0||070,,,,,,,,,,,,,
114|3|2|22|02/07/2015 16:17|199.34|199.34|21/07/2015 06:11|18.6|||199.34|199.34|0.0|0.0|0|0|0.0|0.0|0.0|0.0|3|3|0.0||040,56,,,,,,,,,,,,
115|3|2|13|15/06/2015 16:49|653.69|653.69|17/06/2015 07:43|1.6|||0.0|0.0|593.69|593.69|60|60|0.0|0.0|0.0|0.0|1|1|0.0||041,21,999,90,,,,,,,,,,
116|7|2|67|09/07/2015 12:16|5271.18|4904.2|18/08/2015 08:32|39.8|1.0|1.0|2869.6|2172.52|2341.58|2341.58|60|60|0.0|0.0|0.0|0.0|37|27|330.1|56.0|003,23,63,64,65,56,,,,,,,,
117|3|1|21|04/08/2015 16:41|1577.64|1577.64|15/10/2015 06:56|71.6|3.0|3.0|774.32|774.32|743.32|743.32|60|60|0.0|0.0|0.0|0.0|13|13|0.0||027,90,,,,,,,,,,,,
118|5|1|37|10/06/2015 16:20|8363.61|6862.1|07/07/2015 07:09|26.6|2.0|2.0|1699.76|1699.76|5219.92|5112.34|60|50|0.0|0.0|0.0|0.0|14|14|0.0|23.0|050,23,,,,,,,,,,,,
119|5|2|39|23/09/2015 16:29|1041.48|741.48|15/10/2015 06:58|21.6|3.0|3.0|741.48|741.48|0.0|0.0|0|0|0.0|0.0|300.0|0.0|10|10|0.0||087,,,,,,,,,,,,,
